Contiguous U.S. Extremes in Days with/without Precip (Step 5* Combined) Annual (January-December) 1910-2020
Date,Actual Percent
1910,49.80
1911,22.10
1912,22.60
1913,21.30
1914,22.60
1915,25.00
1916,21.80
1917,31.50
1918,18.40
1919,21.40
1920,16.20
1921,18.70
1922,24.40
1923,23.40
1924,30.30
1925,20.10
1926,19.70
1927,13.30
1928,18.70
1929,28.40
1930,24.40
1931,22.40
1932,16.10
1933,22.00
1934,28.50
1935,14.90
1936,22.60
1937,15.60
1938,12.30
1939,24.10
1940,12.30
1941,41.40
1942,11.20
1943,20.50
1944,17.20
1945,23.10
1946,10.00
1947,13.40
1948,17.30
1949,19.10
1950,17.90
1951,20.20
1952,20.80
1953,21.40
1954,25.40
1955,16.10
1956,21.90
1957,34.20
1958,17.20
1959,20.50
1960,9.10
1961,16.70
1962,11.10
1963,19.80
1964,13.70
1965,16.30
1966,19.60
1967,7.90
1968,15.30
1969,10.10
1970,11.80
1971,12.70
1972,15.20
1973,23.50
1974,14.40
1975,21.20
1976,27.70
1977,13.40
1978,13.80
1979,8.50
1980,13.40
1981,9.70
1982,20.80
1983,34.70
1984,22.40
1985,17.10
1986,13.30
1987,14.60
1988,16.30
1989,14.40
1990,15.10
1991,16.20
1992,22.80
1993,23.70
1994,12.80
1995,17.80
1996,23.00
1997,13.30
1998,28.50
1999,14.90
2000,12.40
2001,8.10
2002,14.50
2003,20.60
2004,19.20
2005,13.70
2006,21.90
2007,24.00
2008,20.10
2009,23.10
2010,29.40
2011,28.40
2012,21.20
2013,24.60
2014,19.70
2015,30.50
2016,18.90
2017,18.40
2018,26.40
2019,41.20
2020,21.90
